Gender;Husstandny;husstand;FamilieIndkomst_4grupper;USDA_foodinsecurity_DICH;DQS_Cat;A65;LifeSatisfaction;HighPsychDistress;Kessler_raw;pervgt
1;2;2;3;0;3;10;1;0;2;2379
1;2;2;1;0;2;9;1;0;1;34
1;1;1;1;0;1;8;1;0;5;1678
1;1;1;1;0;2;9;1;0;4;3720
1;4;3;3;0;2;3;0;0;3;1950
1;2;2;3;0;2;3;0;0;7;1950
1;2;2;1;0;1;6;0;0;1;63
1;2;2;3;0;2;10;1;0;0;3068
1;2;2;1;0;2;2;0;0;3;60
1;1;1;2;0;2;10;1;0;0;2333
1;7;4;3;1;1;5;0;0;4;3780
1;1;1;3;0;1;8;1;0;2;2242
1;2;2;1;0;2;10;1;0;0;67
1;4;3;1;0;2;8;1;0;0;33
1;4;3;1;0;1;4;0;1;14;66
1;2;2;2;0;2;9;1;0;1;2606
1;2;2;4;0;2;10;1;0;1;2379
1;3;3;1;0;2;8;1;0;2;3453
1;2;2;4;0;2;8;1;0;4;2886
1;3;3;1;0;2;8;1;0;6;79
1;#NULL!;999;1;0;2;3;0;0;8;3453
1;2;2;1;0;2;1;0;0;3;60
1;3;3;2;0;#NULL!;10;1;0;0;1946
1;7;4;3;0;2;7;0;0;4;469
1;3;3;4;0;1;7;0;0;6;2886
1;2;2;3;0;2;9;1;0;2;1668
1;2;2;1;0;2;9;1;0;8;69
1;4;3;4;0;2;9;1;0;0;2379
1;2;2;1;1;2;6;0;0;8;60
1;3;3;1;0;3;9;1;0;0;33
1;2;2;3;0;2;8;1;0;4;2886
1;2;2;3;0;1;7;0;0;2;3362
1;5;3;4;1;2;5;0;0;11;399
1;2;2;2;0;3;8;1;0;1;2492
1;6;4;2;0;3;7;0;0;6;2361
1;2;2;1;1;2;8;1;0;2;66
1;3;3;4;0;2;9;1;0;0;1770
1;2;2;2;0;2;8;1;0;1;2129
1;6;4;1;0;2;9;1;0;2;17
1;3;3;2;0;2;9;1;0;2;469
1;1;1;2;0;1;8;1;0;0;3945
1;6;4;3;0;2;3;0;1;13;477
1;4;3;4;0;3;10;1;0;0;2379
1;2;2;1;1;2;7;0;0;7;60
1;1;1;1;1;2;7;0;#NULL!;#NULL!;2483
1;5;3;4;0;2;7;0;0;11;2379
1;2;2;1;0;1;2;0;0;3;45
1;2;2;4;0;2;9;1;0;1;2276
1;2;2;4;0;2;8;1;0;0;3033
1;2;2;1;0;2;8;1;0;0;35
1;3;3;4;0;2;7;0;0;2;2707
1;2;2;2;0;2;10;1;0;0;3215
1;1;1;1;0;2;3;0;0;11;2492
1;5;3;1;0;2;9;1;0;1;46
1;7;4;3;1;2;0;0;0;11;456
1;2;2;1;0;2;10;1;0;3;35
1;1;1;2;0;2;8;1;0;2;1946
1;1;1;2;0;1;7;0;0;9;4053
1;1;1;1;0;2;7;0;0;5;1188
1;2;2;1;0;2;10;1;0;1;2489
1;3;3;4;0;2;8;1;0;0;3036
1;2;2;1;0;2;10;1;0;0;2257
1;1;1;1;0;2;6;0;0;0;3002
1;7;4;3;0;2;2;0;0;4;379
1;2;2;1;0;2;9;1;0;1;82
1;6;4;2;0;2;8;1;0;5;314
1;2;2;3;0;2;10;1;0;4;2867
1;6;4;1;0;2;7;0;#NULL!;#NULL!;52
1;3;3;4;0;2;8;1;0;0;2707
1;2;2;3;0;3;10;1;0;1;2232
1;1;1;2;0;2;3;0;1;15;2556
1;3;3;3;0;1;9;1;0;0;2867
1;4;3;4;0;1;5;0;0;2;2232
1;5;3;1;0;2;2;0;0;12;91
1;1;1;2;0;3;10;1;0;0;2077
1;1;1;4;0;2;7;0;0;2;2105
1;2;2;3;0;1;7;0;0;1;2867
1;2;2;1;0;3;0;0;0;0;55
1;6;4;1;0;1;7;0;0;2;31
1;1;1;2;0;2;10;1;0;0;4025
1;4;3;3;0;2;9;1;0;0;1997
1;3;3;1;0;2;7;0;1;17;86
1;2;2;3;0;2;6;0;0;9;1919
1;2;2;3;0;2;10;1;0;0;3033
1;2;2;3;0;2;9;1;0;2;2886
1;1;1;2;0;#NULL!;5;0;0;2;3649
1;3;3;3;1;2;10;1;0;0;406
1;3;3;3;0;2;9;1;0;5;2708
1;1;1;1;0;1;10;1;0;0;3595
1;3;3;1;1;2;8;1;0;8;69
1;2;2;3;0;2;7;0;0;0;3234
1;2;2;3;0;2;7;0;0;0;1668
1;7;4;1;0;2;5;0;0;10;38
